# Voltage [mV]	Duration [ms]
 5.99998574159161251e+01	 3.49899351983091833e+02
-1.19991503884638590e+02	 1.02947633593087471e+03
-3.33391468521831769e+01	 2.89174166243664672e+02
 2.90720628987516250e+00	 5.84441927601452107e+02
-1.19980269693570051e+02	 1.57504698514257439e+03
-3.09026173362554992e+01	 6.66778892298324422e+02
-1.19999514659099219e+02	 9.93947089984684226e+02
 5.99886170786021893e+01	 1.76299022369056388e+03
-6.65924219403354840e+01	 1.45478109230544260e+03
 2.24495128920342779e+00	 1.78218660521198808e+03
-1.19998608487207136e+02	 1.60814896713848611e+03
 5.99989523536201190e+01	 6.67466966703959315e+02
-3.68186986472176443e+01	 8.20150052796749264e+02
 5.99926987259211586e+01	 1.68641955201592395e+03
 5.99901100602659483e+01	 9.99586055220241178e+02
-2.86995589299212099e+01	 5.74497692152339710e+02
-1.19973153919729498e+02	 1.48037450887655859e+03
-3.14730914966721009e+01	 1.26635822164760452e+03
-1.19997808132589839e+02	 1.84789029956925833e+03
-2.54140001501511392e+00	 8.45584917033389047e+02
