# Voltage [mV]	Duration [ms]
 5.99999993665266373e+01	 1.99992473137196293e+03
 2.95554433365172571e+01	 1.99999974821186834e+03
 2.98033513636965210e+01	 1.99998601873612552e+03
 2.90158712540726427e+01	 1.99987015738216155e+03
-1.04522551660191340e+02	 1.99946766442152170e+03
-4.02602403001910574e+01	 1.99987297675330478e+03
-4.19617764965694064e+01	 1.99967506080806925e+03
 5.99999570438563410e+01	 1.94114031948595380e+03
-1.19999551512651578e+02	 1.83449506968804008e+03
-3.91822625654801016e+01	 1.99999919123340487e+03
-4.23189038785966716e+01	 1.99999944672039669e+03
-4.27782924957411410e+01	 1.99725705844262620e+03
 5.99996301138608743e+01	 1.86752480010554837e+03
-2.36625015474943439e+01	 1.99941758099243702e+03
-1.19988078038139406e+02	 1.98371912375272200e+03
-1.07784829589603248e+01	 1.99586984401658356e+03
-8.25865301305770458e+01	 1.99924711483521787e+03
-4.25123533918777170e+01	 1.99999152656408069e+03
-4.32391776607131817e+01	 1.99964204488884980e+03
 5.99999696255515929e+01	 1.99441828109283574e+03
