# Voltage [mV]	Duration [ms]
-8.19828009941089704e+01	 5.79674557833351685e+01
 5.99748945989651361e+01	 5.90642272401177706e+02
-1.19593973362753715e+02	 1.98507771545421724e+03
-4.25970720205430382e+01	 2.19784743810499435e+02
-1.16220350255217781e+02	 9.49994069428586556e+01
 5.99993415071634786e+01	 6.99155148634190709e+02
 2.07151803141842947e+01	 1.97261642178409306e+03
-1.15946537133250700e+02	 5.25649276290982215e+01
-1.18716053065780912e+02	 1.07124108211493558e+03
-3.70037406645205351e+01	 6.22941957592325437e+01
-4.21480421366622693e+01	 1.83745659524193798e+03
 5.99000230665051276e+01	 3.86469696940613801e+02
-3.04423921237050479e+01	 1.06768439418431285e+02
-9.11096888140312444e+00	 1.99025444922550855e+03
-1.18583768716802041e+02	 1.63594991660696360e+03
-3.92780553309006422e+01	 6.27173410133584355e+01
-4.50052291219116256e+01	 5.05505702538406325e+01
-1.14013748173166519e+02	 2.51489076108968703e+02
 5.99412154564754474e+01	 4.93328781489019377e+02
-3.21428547347727545e+01	 1.49906388974918514e+02
