# Voltage [mV]	Duration [ms]
 5.99947142445421093e+01	 4.70749816252508936e+02
-1.19479473447390916e+02	 8.47325697820603665e+01
-1.18393595608266082e+02	 8.64682087355148042e+02
-4.36514711229802543e+01	 1.08662796112897854e+03
-1.10194538522453257e+02	 6.38752208372101791e+01
-1.19871267911523375e+02	 9.60780530692508705e+01
-1.14238285266723963e+02	 5.12537146944252839e+01
 5.99951147200177104e+01	 3.56134394823373157e+02
-3.26010764236635566e+01	 8.66615593587925162e+01
-1.19447262534575358e+02	 1.90700347635618323e+03
-3.95625281046062440e+01	 7.51129168378226382e+01
-4.38463601421865121e+01	 2.46895298983068614e+02
 5.99847846385104333e+01	 1.40572063911688588e+02
-3.37551453129222949e+01	 1.17796319608713532e+02
-1.11023430868250941e+02	 5.00429732278938957e+01
 5.99417641989119829e+01	 4.43039452091394594e+02
 1.46165391420896924e+01	 1.99847788820618825e+03
 2.44985400631937296e+01	 5.73205213172787325e+01
-4.26740551584083221e+01	 6.51080327759275974e+01
-2.78743688674484247e+00	 5.72797428342503210e+01
