# Voltage [mV]	Duration [ms]
-4.21331976999725839e+01	 5.00000092407111580e+01
-4.49804013652252763e+01	 1.66865681828577692e+02
-5.43563605186069481e+01	 6.11122123482690682e+01
 5.99912931229537776e+01	 1.78933533828624377e+02
-4.07353253426690145e+01	 5.36560372684962346e+01
-3.53690340132018548e+01	 5.29943571635125537e+01
 5.99432367285379257e+01	 9.01873853340606502e+01
-1.17452711809743889e+02	 5.00805728328844992e+01
 5.99999659416497764e+01	 1.62010517715786079e+02
 1.70761253463210210e+01	 2.16689158228602395e+02
 1.99042266843970310e+01	 5.01244601008113335e+01
-3.76083719778431345e+01	 5.12223850244332795e+01
-1.16923207082608968e+02	 1.44557205698400992e+02
 5.99999894491701014e+01	 5.11352261841902944e+01
-3.47655377691842347e+01	 5.05641809520637580e+01
 2.04625046428354551e+00	 5.18333654354727784e+01
-1.19960090173136294e+02	 6.64397045466994427e+02
-3.66881994373835028e+01	 5.78291201232974146e+01
-4.41124944437585071e+01	 9.72860271100378782e+01
 1.34244749529329965e+00	 5.01506365585613665e+01
