# Voltage [mV]	Duration [ms]
-1.19999442882745925e+02	 5.00995244710144760e+01
-1.19830935692720033e+02	 5.69692518391123173e+01
 5.99231034976131980e+01	 1.97567211696828849e+03
 5.99969199817599588e+01	 5.75800661011205577e+01
-1.19994753377284823e+02	 1.72296132688444573e+02
-1.19999990134091263e+02	 6.93941534886207876e+01
-1.19999609717910161e+02	 6.16653836116252364e+02
-1.19999351226511521e+02	 6.42205671144315886e+01
-1.19962535976328084e+02	 5.25198791297469185e+01
-1.19973507866226143e+02	 5.00195116409935636e+01
-1.19818167939023652e+02	 5.00279920879385855e+01
-1.19959837120877893e+02	 1.11909965908653760e+02
-1.19545303608719649e+02	 4.23529137044970867e+02
-1.19993056880386504e+02	 2.90398621937704888e+02
 6.35840409540421092e+00	 1.99999175242858405e+03
-1.05262297046917453e+02	 5.23567104728913790e+01
-2.49459980871663873e+01	 1.99833054588671826e+03
-1.19993885349392983e+02	 5.00033837912858559e+01
-1.19986422882863721e+02	 7.86818462921606567e+01
-1.19919430485357438e+02	 5.18233473385169958e+01
