# Voltage [mV]	Duration [ms]
-1.19998484282251340e+02	 6.59332809408253837e+01
 5.99990232269963712e+01	 1.61727476708355971e+03
 5.98972678262279317e+01	 5.60044887675716438e+01
-3.10606541914386014e+01	 1.99991894441967202e+03
-1.19987230202735674e+02	 7.96445161514688493e+01
-1.19981583658832150e+02	 3.09396419672830518e+02
-1.19499760536423025e+02	 5.67203017813854018e+01
-1.18127482218005355e+02	 3.18902722558724918e+02
-1.19616706221381833e+02	 5.10823452450692344e+01
-1.07141662631205463e+01	 1.99817232226697092e+03
-1.19699938685302442e+02	 1.91020113767259113e+03
 1.21315528665163015e+01	 1.99703673683144234e+03
 5.87629374854361117e+01	 7.76078647874797412e+01
 5.99966896568034542e+01	 2.25088979715067779e+02
-1.19912563209731928e+02	 5.21975698645005295e+01
-1.12629143147628128e+02	 5.70232929293200357e+01
-1.17698343450629935e+02	 5.00003219860967789e+01
 5.99844262483371438e+01	 6.20705786065160282e+02
 5.99587636445032786e+01	 5.16364783110752512e+01
 5.94564188372469857e+01	 6.77722772886230445e+01
