# Voltage [mV]	Duration [ms]
-1.15806236992327442e+02	 1.20369494618079875e+03
-5.54191878511028477e+01	 1.30027233035633253e+03
 5.99722144515745015e+01	 1.96308256216231143e+03
-3.45843404738410669e+01	 1.92904291244572551e+03
 2.26571021442761662e+01	 1.38403366631682729e+02
-8.85923026272364922e+01	 1.85726559260987142e+03
 5.98075261599015562e+01	 1.95717478023597187e+03
-8.85756749844590132e+01	 1.87615848372247615e+03
-9.73199476627672198e+01	 1.94839480035033671e+03
-1.14414402702222787e+02	 1.85830715376165062e+03
 5.98579759935627465e+01	 1.98634928434169387e+03
 5.52796221647244010e+01	 1.69309575066025741e+03
-1.19696403730304908e+02	 5.65810850522005637e+01
-1.16143227273637791e+02	 1.40679758509711519e+03
-1.15601633076344427e+02	 3.62914394017240738e+02
-5.46919483667953443e+01	 1.70664996613982839e+03
-1.80746507229149529e+01	 1.87442028314714253e+03
-8.86930057319936083e+01	 1.96097154029887815e+03
-5.29101554930065134e+01	 1.59423547279394302e+03
-4.21153399299578268e+00	 1.97887589130718129e+03
