# Voltage [mV]	Duration [ms]
-8.85536793409081895e+01	 1.57160102264232910e+03
-1.45251462582159405e+01	 9.55249761236374297e+02
-8.85388539028789978e+01	 1.98084782972159542e+03
 5.99955151771954434e+01	 1.72222233658595314e+03
-3.17711622143894488e+01	 1.97273065855598452e+03
-7.88477173101846915e+01	 1.92251338691046908e+03
 5.94081492214112643e+01	 1.81800263133191334e+03
-1.12703246685038209e+02	 1.91341603943024234e+03
-5.64460076996273870e+01	 1.30513498627004401e+03
-9.36217079579053291e+00	 1.98237216592099799e+03
 5.98679070935141624e+01	 1.98675270824789368e+03
 5.97463301095490351e+01	 1.99363882616027990e+03
-1.01062287576657326e+02	 1.96496424529921342e+03
 5.80978638218263939e+01	 1.88040335793890358e+03
-3.28599526721915112e+01	 1.62134229228254571e+03
-5.75497595577961931e+01	 7.45243473485639356e+02
-1.18891064854230507e+02	 1.79100173812684375e+03
-5.47410710216828136e+01	 1.82759761641629393e+03
-6.25221881438952209e+00	 1.99815122970525181e+03
-3.07024831434625156e+01	 1.91804827059534364e+03
