# Voltage [mV]	Duration [ms]
-5.13098280284946640e+01	 8.61770690097002614e+01
-1.55687463648502415e+01	 1.87392110275023219e+03
-1.12895957036383862e+02	 1.95960545343800072e+03
-5.25400189197425931e+01	 1.72806563728361220e+03
-7.20371119513991687e+00	 1.86637096123784113e+03
-8.86383177674148754e+01	 1.93647781886796315e+03
 5.93418733865993886e+01	 2.46396052511674270e+02
 5.84808856611911949e+01	 1.28029769971438532e+03
-3.33925391271103820e+01	 1.99951834004710986e+03
 5.45892929777123186e+01	 5.91358186534103822e+01
-1.19707664156797335e+02	 1.95778878681232663e+03
 5.99357606320105276e+01	 1.46113829695749632e+03
 5.97630488280763359e+01	 1.98237164849711689e+03
 5.34799808918326676e+01	 1.88413620701951913e+03
 5.34956542050144321e+01	 1.98070215894839316e+03
-3.27303719897730190e+01	 1.97853533727783656e+03
 1.08737567807185087e+01	 1.94290858207675387e+03
-8.85761102411506300e+01	 1.78571937875552658e+03
-1.11134828588113265e+02	 1.93527069780910824e+03
-5.28793865352536017e+01	 1.93070854210066909e+03
