# Voltage [mV]	Duration [ms]
-1.57256877001756692e+01	 1.89732776342326906e+03
-3.07212462635744288e+01	 1.93626128614976142e+03
-8.84734744955007102e+01	 1.89638552771817490e+03
-6.77242902969466343e+00	 1.99822704493631227e+03
-1.19916092574978762e+02	 1.56348886626320382e+03
-1.14055693385607071e+02	 1.98971314769881246e+03
-8.85621287841132983e+01	 1.99446737616324049e+03
 5.99904990959145437e+01	 1.98734187668747563e+03
-3.25578070098436285e+01	 1.57366693230466899e+03
-1.19457942198708992e+02	 1.96413251269821058e+03
-5.41494780204411086e+01	 1.79258351971139928e+03
-9.36994572957378153e+01	 4.42460449683368324e+02
 5.99996811116375284e+01	 1.97231183064810784e+03
 5.89131060945029503e+01	 1.94316163131049757e+03
-1.16560363171893314e+02	 1.95387139072486343e+03
-5.48978711638098815e+01	 1.45496830368886890e+02
 5.90787652489205186e+01	 1.98560025480509194e+03
-3.45762501051407867e+01	 1.97709713834881973e+03
 1.04528625470704242e+01	 1.99603456995469060e+03
-3.16792307066101273e+01	 1.92481860826771549e+03
