# Voltage [mV]	Duration [ms]
-1.14872801868455923e+02	 5.00531618101729876e+01
 5.99998436209328929e+01	 9.29348607393254724e+01
 5.99999277704174006e+01	 7.00790021803774721e+01
-3.78825550863023039e+01	 5.15205520084320483e+01
-3.41539223316288769e+01	 5.53092155952271085e+01
 5.99996526567549608e+01	 9.10271963436788809e+01
-1.07018054580871492e+02	 5.00065624362836090e+01
-1.19970677602401906e+02	 3.91529140247453881e+02
-1.19995538429769852e+02	 5.00092058015994780e+01
-1.19999067990239951e+02	 4.79981980561474643e+02
-4.32174668487168105e+01	 5.57389318748711275e+02
 5.99855301434905357e+01	 1.69898079245798499e+02
-1.16740539287678757e+00	 5.00143084530819024e+01
-1.19627906647004508e+02	 5.01070732043641911e+01
-1.19780176120663825e+02	 5.99165349593271443e+01
 5.99996270722997735e+01	 1.56148204564937885e+02
 1.81362078730964527e+01	 3.81631923995757461e+02
-3.52731338625762021e+01	 5.01552544643649298e+01
-1.18464749486637999e+02	 5.01166453983471811e+01
 5.99967111679662821e+01	 5.00941956471392018e+01
