# Voltage [mV]	Duration [ms]
-1.12672915126758369e+02	 5.23661990420755146e+01
-1.12880541357186075e+02	 6.16731162310617833e+01
 5.99890094167652421e+01	 2.19394920609929216e+02
-3.22657054704397552e+01	 8.36748321178755248e+01
-1.19854013867497684e+02	 6.22756759247548715e+01
-1.18240740885109219e+02	 8.46148074698105574e+01
 5.99987630212926319e+01	 1.09331497215022551e+02
-1.19735367187256472e+02	 7.96402472775763499e+02
-3.69862518163256198e+01	 7.30729682942793204e+01
-4.28558331449806929e+01	 5.43192150514219520e+02
 5.99971983441720340e+01	 3.22424735631080807e+02
 1.91130593932071804e+01	 4.83277043364134954e+02
-1.05612607266515141e+02	 6.93663672610540374e+01
-1.19810484482914973e+02	 5.81205766549727798e+01
-1.13326053099010181e+02	 5.10477281031476480e+01
-1.09052134800069595e+02	 5.22873134170415810e+01
 5.99168312499758713e+01	 5.04475882160808951e+01
-1.01584783694953089e+02	 5.48850990578042257e+01
-7.77507441990691461e+00	 5.07587573783372363e+01
-9.08180128505435391e-01	 5.01071181363669780e+01
