# Voltage [mV]	Duration [ms]
-1.19962453327480404e+02	 5.05300721701672799e+01
-1.19756992097251469e+02	 7.25484663654567612e+01
-1.19667827032829209e+02	 2.10929563850848439e+02
-1.19701081476280009e+02	 5.00612631718162859e+01
 5.94385513186549019e+01	 3.58968574562126491e+02
-1.19997201370665707e+02	 1.15793756559697783e+02
 5.96297477925164969e+01	 1.99870755395589572e+03
-2.55504670040877642e+01	 1.99997650501638668e+03
-1.19877570245347044e+02	 5.25970823481877190e+01
 5.99432220789339851e+01	 1.29904334738526245e+02
-3.06433999690635943e+01	 1.29919164586698321e+03
-1.19248259366435903e+02	 1.01053391717050613e+03
-1.19848233209373291e+02	 5.02175522763541494e+02
-1.19992615927965090e+02	 6.67648801918898869e+01
-7.44091923065212768e+00	 1.99858427956421633e+03
-1.18029126692847854e+02	 1.17800369016776335e+03
-1.19996832086608151e+02	 5.01938024177182811e+01
-1.17096644580904496e+02	 5.00591366954103236e+01
-7.57455900077187039e+00	 1.98911397227669931e+03
-1.19871945467763950e+02	 1.70972608915753540e+02
