# Voltage [mV]	Duration [ms]
-8.23195276413439387e+01	 1.57841824017801741e+03
-8.57026899586526554e+01	 1.86061833771547953e+02
 5.99831391197256281e+01	 3.58750160843386766e+02
-9.31797465239829137e+01	 1.03356111389638613e+03
-8.73402350563144125e+01	 1.08358378480188276e+03
 5.99955337459444777e+01	 3.09110541666010533e+02
-1.00368173263249687e+02	 1.10100531794713675e+02
-8.98730860893176384e+01	 1.60183626419192069e+03
-8.44553315395828008e+01	 1.20024551165241496e+03
-8.35532376185439034e+01	 1.89764423315502222e+03
 5.99985716319162350e+01	 3.54013805451819906e+02
-9.76596103238278914e+01	 3.65283815604378276e+02
-8.87894119680627369e+01	 1.96611982551702590e+03
-8.36166394595671107e+01	 1.99985523238050951e+03
 5.99996746177278624e+01	 2.99937640245174123e+02
-5.19552804660267498e+01	 5.00155725880751163e+01
-9.50437819077986319e+01	 9.30046486302445828e+02
 5.99992996058067263e+01	 6.63881896436526290e+02
 2.53273006020452200e+01	 5.61719565827227939e+02
 2.46045308387547692e+01	 8.92653931067491044e+02
