# Voltage [mV]	Duration [ms]
 5.99012246442161853e+01	 1.54691473966837339e+03
-1.19996989795322378e+02	 1.25809021566642900e+03
-1.49944401026674257e+01	 1.36793341881964034e+03
-5.66410380648482175e+01	 1.99528143102525519e+03
-4.47668193235168133e+01	 1.93303115110528097e+03
-3.81818169022744982e+01	 1.96078544468165887e+03
 5.99974149837342452e+01	 1.50723551234458591e+03
-1.19999918906350914e+02	 1.76231166607943555e+03
-3.25300074722401860e+01	 1.97012674279057956e+03
-5.35167297508203035e+01	 1.58177253883114872e+03
-4.77387856529823864e+01	 1.12754652040786732e+03
 5.99978043800940739e+01	 1.75327119023670730e+03
 2.58819144480704040e+01	 1.98077777086274659e+03
 2.43930353924586427e+01	 1.76005850589448073e+03
 2.98218129875197739e+01	 6.82187275822052243e+02
 2.82282034660900649e+01	 1.99400706053788826e+03
 2.97706002891910373e+01	 1.96335839032856279e+03
-2.41265048917181559e+01	 1.37025979089774523e+03
-3.04202161015024153e+01	 1.91462150733809199e+03
 5.99884191431515035e+01	 1.49648081336574182e+03
