# Voltage [mV]	Duration [ms]
-1.19996551986182823e+02	 1.98634244989399508e+03
 5.97745506573712646e+01	 1.69796194906257710e+02
 5.99979885891889637e+01	 5.02849508138870931e+01
-1.19999635028801123e+02	 1.14064947589497115e+03
-1.19852805048924168e+02	 1.06426939204677979e+02
-8.28829046024384297e+00	 1.98857850577767613e+03
-1.19996682287009207e+02	 5.00202779587544555e+01
 5.99701549005889945e+01	 7.89929383708924178e+01
 5.99989569411260959e+01	 5.49822001162357310e+01
-6.43131150567207044e+00	 1.99702450741142252e+03
 5.95972472214243396e+01	 1.91920445641607557e+03
-1.19201108800611166e+02	 5.97842028205729505e+01
 5.84690184408209461e+01	 1.01911233990677403e+02
-1.72239914856197771e+01	 1.99998195891644832e+03
 5.99957109334334291e+01	 5.11205354816647031e+01
 5.96732610580430105e+01	 5.81257639351200126e+01
-1.19996113802066219e+02	 6.89427283428172046e+01
-1.19958624710021454e+02	 5.11846881914867211e+01
-1.19776940097822290e+02	 5.36517068073119461e+01
 5.99987309224011085e+01	 1.34389452611786851e+02
