# Voltage [mV]	Duration [ms]
-1.19993972290036027e+02	 5.08949965480957474e+01
-1.19999897402806070e+02	 5.03878312069880110e+01
 5.99980543959279373e+01	 2.30724932616583857e+02
-1.18791399655164639e+02	 7.51855184476163458e+01
 5.99993073070807554e+01	 1.80828931600610986e+02
-1.19227693992042219e+02	 5.22930908890823048e+02
-1.19990595258759058e+02	 1.87859300690269549e+02
-1.19889945093578930e+02	 1.83004947324265885e+02
-2.98708369743104214e+01	 3.30171636164783820e+02
 5.98912440054800186e+01	 7.62601480922383388e+01
-8.72108597516283623e+00	 1.97890456835551936e+03
-1.19368121002812160e+02	 9.22538726939108415e+02
-2.90203801163983854e+01	 2.69822712084224577e+02
 5.99990053030231536e+01	 7.75910710523933176e+01
-2.65852071553925242e+01	 3.43846204724133031e+02
 5.99784453016009422e+01	 5.00684227240537254e+01
-1.19997227277546571e+02	 8.90279591988423533e+01
 5.99696297204326072e+01	 8.76624098790504718e+01
 5.99573327255069159e+01	 5.00489900646511217e+01
-5.61102770509545223e+00	 1.99416578975004131e+03
