# Voltage [mV]	Duration [ms]
-3.41946397668868514e+01	 1.97413541502860824e+02
-1.19607782528959831e+02	 5.67207432126056830e+01
-1.17748403855127052e+02	 1.64928911559926405e+02
-3.31842519222646786e+01	 2.76174354538489183e+02
-3.20128510054645261e+01	 5.50972584493823305e+01
-3.33358987041125090e+01	 5.11191977076637158e+01
-3.39678695385406257e+01	 5.25622277490428900e+01
-1.19468542202430413e+02	 8.49900658887330849e+01
 5.99110695245733780e+01	 2.02287970036292904e+02
-1.19752370055492790e+02	 1.32167895412892562e+03
-1.19979469959715686e+02	 1.29075694153032009e+03
-8.58878846244962801e+00	 1.99994732728980944e+03
 5.99098194956557393e+01	 5.41306296948936492e+01
-2.72269265073155964e+01	 1.96025214945809921e+03
-1.18785064786480405e+02	 1.89523375600367615e+02
-1.19915450093515020e+02	 1.24661126278666927e+02
-1.17933119325178353e+02	 6.13183847198023813e+01
-6.26807956306254255e+00	 1.99955299775371623e+03
 5.93431132919079403e+01	 1.72523044303944835e+03
 5.88614740146790894e+01	 2.10676383013094863e+02
