# Voltage [mV]	Duration [ms]
-1.19929894350103041e+02	 1.97349184431735989e+03
-3.33836267904410562e+01	 4.24746038260924024e+02
-3.50966404815742408e+01	 5.06430082469812106e+01
-3.33862751451756878e+01	 5.00003517319696158e+01
-8.16825631382631911e+00	 1.99886088054902029e+03
-1.19462069111240652e+02	 1.99985193167860166e+03
-3.43463005802238968e+01	 4.18296930744656436e+02
-3.29720448147744349e+01	 5.00171191538039537e+01
-3.61697230340426330e+01	 5.00132869039973329e+01
-1.19331619525307985e+02	 1.99995610191622040e+03
-1.18072321240773960e+02	 7.33601604375241010e+01
-8.45853670938357993e+00	 1.99998912902572010e+03
 5.99996141085038914e+01	 5.82854531818522332e+02
-1.19898722499673468e+02	 5.02581948352437990e+01
 5.99843623417958725e+01	 1.51605372425951941e+03
-3.04772690792134711e+01	 1.96242176687194205e+03
-8.59582122989334607e+00	 1.99901578404858128e+03
 5.99101377576691618e+01	 5.16200849559930077e+01
-2.63099324043566014e+01	 1.57655228786244879e+03
-3.08331566142678923e+01	 1.99999948710484227e+03
