# Voltage [mV]	Duration [ms]
-3.14531004839222419e+01	 2.39685441420359950e+02
-3.32647587173429287e+01	 7.27857175264741727e+01
-3.39690148560749208e+01	 6.23743641028681708e+01
-3.35426105471332789e+01	 5.28793531169781872e+01
-3.42912602117347092e+01	 5.46394989464863556e+01
-1.19509005338067993e+02	 7.15856010325498460e+01
-1.17079991584402777e+02	 9.45218900253090482e+01
-7.22341592898919771e+00	 1.99209594498307956e+03
-7.12535922971349578e+00	 1.98571353210813368e+03
-1.19295062033243241e+02	 6.34760701988374308e+02
-3.07998780615784113e+01	 2.84778620213279169e+02
 5.98740251151252210e+01	 9.87943938236208794e+01
-1.18669701119602777e+02	 1.72099449107000373e+03
 5.78859476131157749e+01	 1.98016060115013966e+03
-1.65686103824705810e+01	 1.99318271506649762e+03
 5.98723554066969257e+01	 5.25034960333509986e+01
-1.19923912644405107e+02	 7.16625198213003728e+02
-1.19451906254052020e+02	 1.57948254635322030e+02
-3.09311773881085941e+01	 3.06526241796395368e+02
 5.97237024731834936e+01	 7.44475941788054598e+01
