# Voltage [mV]	Duration [ms]
-3.84402429283972396e+01	 1.99932810043309428e+03
-4.64766897357825997e+01	 1.99653633789742094e+03
 5.99993354497618157e+01	 1.63065688635038737e+03
-2.77830679596369663e+01	 1.98347245064682124e+03
-8.84707419048619101e+01	 1.99980410698870219e+03
-1.32761112622026616e+01	 2.23139786582233484e+02
-4.43660817649117689e+01	 1.99999950923834217e+03
 5.99999955288351714e+01	 1.99916935425711995e+03
-1.19713883316148511e+02	 1.99993341245002534e+03
-4.32481227230256451e+01	 1.99994107687874953e+03
-4.48401185097525712e+01	 1.99998359706108909e+03
-3.21695846202265869e+01	 5.00018632480188927e+01
 5.99999979120968874e+01	 1.13803365948827263e+03
-1.19994346564518381e+02	 1.99999970985565119e+03
 5.99985135567737871e+01	 1.99726271763208706e+03
 3.06107471485136955e+01	 1.99997047861100418e+03
 2.98089807095824426e+01	 1.99965067227791519e+03
-3.40129430066086513e+01	 1.99996798616683964e+03
 5.99917941893988882e+01	 1.99503360658503584e+03
-8.84251785531337191e+01	 1.99986199114117812e+03
