# Voltage [mV]	Duration [ms]
-7.47849049361899176e+01	 8.86494351957230833e+02
-8.70525363605549956e+01	 1.32463932179449944e+03
 5.99999431139796968e+01	 9.37807780187778803e+02
 2.07078707174377428e+01	 3.60854298331250050e+02
 2.19656633292859880e+01	 2.73314271750465764e+02
 2.28018723474235365e+01	 6.63220237742511699e+02
-7.29830999361199702e+01	 7.17260528134664384e+01
-2.92307316567045952e+01	 1.50142720005473052e+02
-9.16504608239905565e+01	 1.78863084508586940e+03
-8.60241050431078804e+01	 1.01837317689855695e+03
-8.84174788174353949e+01	 1.19509900352136151e+03
-6.25499857555485832e+01	 1.32855977529440821e+02
-8.64204320255937830e+01	 1.59831353499913007e+03
-8.47455293454848402e+01	 9.90270710385349389e+02
 5.99864575923762615e+01	 3.49290314094443204e+02
-4.86919211060595387e+01	 6.41125550129954291e+01
-9.32249145577681873e+01	 1.42051002806117413e+03
-8.72558305613267606e+01	 1.49259650087535124e+03
 5.99992419378643547e+01	 3.60478984317850347e+02
-3.79573004572695609e+01	 7.84314092367017111e+01
