# Voltage [mV]	Duration [ms]
-8.04596643277683228e+01	 2.72542837059010594e+02
-8.54587670349907569e+01	 1.60424929000433417e+03
 5.99819663323158423e+01	 4.20780987716674986e+02
 5.99636034833313758e+01	 1.19057409915584600e+02
-9.47495985008970791e+01	 1.20719518296030492e+03
-8.73468900888806559e+01	 1.24726662122837774e+03
-7.99618717565344923e+01	 1.65219659480356495e+03
 5.99819051789018971e+01	 6.94962164593902912e+02
 2.11670891669734829e+01	 1.00809521890668429e+03
 2.29348525357204522e+01	 1.45374467353785144e+03
-8.93374246219909764e+01	 2.88575999803139553e+02
-9.14515351408026618e+01	 7.33616465405047393e+02
-8.94377258553207639e+01	 1.84377724437987899e+03
-7.60803576170282696e+01	 1.03553027903323800e+03
-4.63672177480969694e+01	 6.43241336544278170e+02
-5.31710620567369432e+01	 1.02968819481961668e+03
 5.99649765494312632e+01	 2.79179395576122261e+02
-3.65368396400567832e+01	 6.11244479362309221e+02
-9.16998585366832799e+01	 1.98383432586621666e+03
 5.99852138527897480e+01	 6.35309449712800415e+02
