# Voltage [mV]	Duration [ms]
 5.99992952930332564e+01	 4.82189961013471361e+02
-9.30084831502919087e+01	 5.20963050534859121e+02
-8.86219355202481722e+01	 1.67981536015172787e+03
-8.53537175646223005e+01	 1.99870754433686966e+03
-7.22067290794732912e+01	 8.16213394396996534e+01
-8.31185518922663675e+01	 1.71260937329180706e+03
-8.47196653450394024e+01	 7.17708243912955822e+02
-8.42129884604826771e+01	 1.72927010727651714e+03
-8.74723380855516695e+01	 2.66509820251730616e+02
 5.99872741079458933e+01	 3.77219427482652122e+02
-9.16530363674353339e+01	 1.44527219842010481e+03
 5.99949947432860498e+01	 5.67164166709497977e+02
 2.72581889368586552e+01	 1.51421161970771345e+03
-9.30523018190469742e+01	 5.20608395774755195e+02
-8.91159982603392393e+01	 1.79967068656484321e+03
 5.99992233150030145e+01	 9.87409525159009291e+01
-9.35306848682487555e+01	 4.85867191025300713e+02
-9.03373238773083926e+01	 3.10236686482385153e+02
 5.99824906529053266e+01	 2.87428508668490451e+02
-9.34652498855209615e+01	 5.94132579230988995e+02
