# Voltage [mV]	Duration [ms]
 3.40769003733396403e+00	 5.09843482587566541e+01
 5.99985852339103474e+01	 3.52953504723637593e+02
 1.86145994891180919e+01	 5.80978129141392856e+02
-3.86820318341746088e+01	 5.00268921086943124e+01
-1.19993369193542350e+02	 4.50214963726379210e+02
-1.19874645896851789e+02	 2.34754757015501383e+02
-4.31391328371421139e+01	 4.72589752088026216e+02
-1.19756151448359233e+02	 5.08039782151288577e+01
-1.18276782479324282e+02	 5.18589598226924338e+01
-3.53236969746102574e+01	 5.00000276390660048e+01
-1.19998841871020602e+02	 5.08406690111746968e+01
 5.99998391254199248e+01	 8.22557182000966236e+01
-3.50140636973376331e+01	 5.24558703811964762e+01
-1.19983288093373147e+02	 5.02282167233167129e+01
 6.71302184476331831e-01	 5.00596451133261979e+01
-1.19984314201278380e+02	 5.01294565639433927e+01
-1.19819064279288597e+02	 5.04579013651164416e+01
-1.13528879507166181e+02	 5.07916598865643891e+01
-1.19383883562175484e+02	 5.06152990132343348e+01
 5.99999612853677888e+01	 8.36883187543230775e+01
